"name","folder","styleUrl","geometryType","coordinates"
"ZONA ROJA","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.0042319,-11.8717292,0 -77.0117206,-11.8678864,0 -77.0129009,-11.8699863,0 -77.0145745,-11.8725691,0 -77.0189256,-11.8794724,0 -77.019268,-11.879667,0 -77.0196754,-11.8799157,0 -77.0217464,-11.8812401,0 -77.0224287,-11.8814183,0 -77.0230721,-11.8820647,0 -77.0234993,-11.8828136,0 -77.0233249,-11.8839555,0 -77.0230822,-11.8851194,0 -77.0231412,-11.8857442,0 -77.0231151,-11.8865932,0 -77.0234829,-11.887506,0 -77.0226491,-11.8883032,0 -77.0223999,-11.8881398,0 -77.0213044,-11.8893285,0 -77.0201665,-11.8892299,0 -77.0198119,-11.8894567,0 -77.0197858,-11.8898229,0 -77.0209364,-11.8905001,0 -77.021041,-11.8906891,0 -77.0198582,-11.8914239,0 -77.0183239,-11.8924843,0 -77.020011,-11.8951641,0 -77.022063,-11.8937914,0 -77.0230124,-11.8950696,0 -77.0246459,-11.8954568,0 -77.0257858,-11.8974607,0 -77.0264244,-11.8995714,0 -77.027229,-11.9011983,0 -77.0286934,-11.9034918,0 -77.0262016,-11.9047805,0 -77.0254265,-11.9050088,0 -77.0197351,-11.899488,0 -77.0073218,-11.885672,0 -77.0029444,-11.8866799,0 -77.0018286,-11.8974304,0 -76.9993395,-11.893651,0 -76.9989104,-11.8869108,0 -76.9918724,-11.8869108,0 -76.9944473,-11.8817874,0 -76.9821737,-11.8779238,0 -76.9862077,-11.8765799,0 -76.9983955,-11.8704484,0 -77.0028586,-11.8691885,0 -77.0042319,-11.8717292,0"
"PUNTO DE ENCUENTRA EN LA COMISARIA EL PROGRESO","Capa sin tÃ­tulo","#icon-1899-0288D1-nodesc","Point","-77.0158885,-11.8745942,0"
"COMAS","Capa sin tÃ­tulo","#poly-0F9D58-2001-120","Polygon","-77.0413801,-11.917244,0 -77.0373246,-11.9098536,0 -77.0342562,-11.9085204,0 -77.033591,-11.9082159,0 -77.0331993,-11.9080638,0 -77.0331296,-11.9079693,0 -77.0332852,-11.9077488,0 -77.033481,-11.907405,0 -77.0384759,-11.8997492,0 -77.0384374,-11.8995621,0 -77.0390773,-11.8992698,0 -77.0386409,-11.8984413,0 -77.0394312,-11.8979274,0 -77.0408563,-11.895366,0 -77.0422662,-11.8945262,0 -77.0428639,-11.8950512,0 -77.0436241,-11.8972244,0 -77.0444762,-11.8967624,0 -77.0446877,-11.8971771,0 -77.045146,-11.8969881,0 -77.0456719,-11.8979113,0 -77.0481826,-11.8965199,0 -77.0467343,-11.8937298,0 -77.0490733,-11.8907139,0 -77.0496794,-11.8897008,0 -77.0507071,-11.888748,0 -77.0546693,-11.891957,0 -77.0584939,-11.8968339,0 -77.0569696,-11.8981836,0 -77.0608786,-11.9028894,0 -77.066247,-11.9101146,0 -77.0688009,-11.9135886,0 -77.0732422,-11.9201925,0 -77.0711292,-11.9468479,0 -77.0699866,-11.9532691,0 -77.0652699,-11.9525234,0 -77.0645551,-11.9559551,0 -77.0600033,-11.9769246,0 -77.0595848,-11.9770716,0 -77.0582035,-11.9764628,0 -77.0571333,-11.9743323,0 -77.0569375,-11.97312,0 -77.054746,-11.9729783,0 -77.0541774,-11.9717504,0 -77.0534586,-11.9705224,0 -77.0531153,-11.9688431,0 -77.0542203,-11.9682973,0 -77.0559263,-11.9678355,0 -77.0548962,-11.9671848,0 -77.0528579,-11.9670169,0 -77.0513773,-11.964267,0 -77.0548962,-11.9639311,0 -77.05348,-11.9622098,0 -77.0518493,-11.9612914,0 -77.0514846,-11.9609398,0 -77.0495373,-11.9616378,0 -77.0473754,-11.9620839,0 -77.047193,-11.9621258,0 -77.0442212,-11.9541488,0 -77.0457983,-11.9528054,0 -77.0466566,-11.9517138,0 -77.0456266,-11.9492366,0 -77.0454335,-11.94677,0 -77.0455516,-11.9451955,0 -77.0453584,-11.9439044,0 -77.0451921,-11.9414692,0 -77.0449399,-11.9409234,0 -77.0449614,-11.9407764,0 -77.0397955,-11.9420255,0 -77.0395541,-11.941338,0 -77.0392859,-11.9404721,0 -77.0388943,-11.9393962,0 -77.0386529,-11.9383202,0 -77.0383632,-11.9378269,0 -77.0379018,-11.9364623,0 -77.0395219,-11.9361054,0 -77.0394468,-11.935633,0 -77.0443392,-11.9344154,0 -77.0461416,-11.9333132,0 -77.0468604,-11.9341484,0 -77.0472466,-11.9339863,0 -77.0470938,-11.9337042,0 -77.048695,-11.9329301,0 -77.0484376,-11.9327464,0 -77.0468282,-11.9335389,0 -77.0466405,-11.933699,0 -77.044779,-11.9315799,0 -77.0430544,-11.928091,0 -77.0425796,-11.9258682,0 -77.0413801,-11.917244,0"
"ZONA ROJA","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.0397741,-11.9142318,0 -77.0412782,-11.9171968,0 -77.0417482,-11.9208138,0 -77.0424777,-11.925821,0 -77.0429525,-11.9280438,0 -77.043792,-11.9298782,0 -77.0446771,-11.9315327,0 -77.0453182,-11.9322577,0 -77.0461094,-11.9331505,0 -77.0465386,-11.9336518,0 -77.0467263,-11.9334917,0 -77.0483357,-11.9326992,0 -77.0485931,-11.9328829,0 -77.0469919,-11.933657,0 -77.0471447,-11.9339391,0 -77.0467585,-11.9341012,0 -77.0460397,-11.933266,0 -77.0442373,-11.9343682,0 -77.0393449,-11.9355858,0 -77.03942,-11.9360582,0 -77.0377999,-11.9364151,0 -77.038272,-11.9378717,0 -77.038551,-11.938273,0 -77.0387334,-11.939143,0 -77.0396936,-11.9419783,0 -77.0339671,-11.9550037,0 -77.0267064,-11.9378716,0 -77.0315343,-11.9285083,0 -77.0307618,-11.9289282,0 -77.0281011,-11.9269967,0 -77.0223504,-11.9275845,0 -77.0147115,-11.9269127,0 -77.0181447,-11.9243094,0 -77.0238095,-11.9184308,0 -77.020033,-11.9145677,0 -77.0156986,-11.922126,0 -76.99673,-11.9118383,0 -76.9984037,-11.908185,0 -77.018488,-11.9063374,0 -77.0225875,-11.902277,0 -77.0254211,-11.9049983,0 -77.0259307,-11.9062475,0 -77.0282789,-11.9058302,0 -77.0294121,-11.9057751,0 -77.0296321,-11.9054077,0 -77.0300022,-11.9051032,0 -77.0309409,-11.9047307,0 -77.0323625,-11.9075337,0 -77.0341543,-11.9084732,0 -77.0372227,-11.9098064,0 -77.0380596,-11.9112341,0 -77.0397741,-11.9142318,0"
"SAN MARTIN DE PORRES","Capa sin tÃ­tulo","#poly-0F9D58-3701-92","Polygon","-77.1016049,-11.95024,0 -77.1010042,-11.9535148,0 -77.1055531,-11.9532629,0 -77.1089005,-11.955782,0 -77.113192,-11.9603163,0 -77.114737,-11.9638429,0 -77.1128488,-11.9668657,0 -77.1154236,-11.9700563,0 -77.1120768,-11.9731768,0 -77.1108746,-11.9765215,0 -77.1115227,-11.9777083,0 -77.1125161,-11.9791761,0 -77.112559,-11.9801207,0 -77.1122801,-11.9819888,0 -77.1145975,-11.9849595,0 -77.1165849,-11.98948,0 -77.1164325,-11.9894425,0 -77.1166084,-11.9899276,0 -77.117163,-11.9906633,0 -77.1178856,-11.9911781,0 -77.1181718,-11.9914093,0 -77.1183775,-11.9917244,0 -77.1183443,-11.9925145,0 -77.1183159,-11.9930348,0 -77.1182017,-11.9934658,0 -77.117807,-11.9943279,0 -77.1165518,-11.9954089,0 -77.1130032,-11.9968965,0 -77.1126733,-11.996747,0 -77.1098983,-11.993827,0 -77.107613,-11.998099,0 -77.1071517,-11.9993681,0 -77.1063524,-11.9996361,0 -77.1049201,-12.0002076,0 -77.1035468,-11.9979408,0 -77.1014939,-12.0008608,0 -77.098919,-12.0040091,0 -77.0977103,-12.0055387,0 -77.0953999,-12.004177,0 -77.0939659,-12.0077957,0 -77.0935242,-12.0096593,0 -77.0923958,-12.0092981,0 -77.0914447,-12.0094425,0 -77.0907581,-12.0116672,0 -77.089617,-12.0114651,0 -77.0887624,-12.0124236,0 -77.0875992,-12.0144576,0 -77.0871549,-12.0157886,0 -77.0881307,-12.0169897,0 -77.0890262,-12.0184374,0 -77.0906132,-12.0214167,0 -77.0913374,-12.0226082,0 -77.090632,-12.0230214,0 -77.0931358,-12.0280953,0 -77.093974,-12.0299942,0 -77.0943683,-12.0299523,0 -77.0961224,-12.0336256,0 -77.0948706,-12.0342246,0 -77.0950281,-12.0364947,0 -77.0934724,-12.0361694,0 -77.0935154,-12.0379112,0 -77.0828079,-12.0365479,0 -77.0725727,-12.0346801,0 -77.0654918,-12.0351419,0 -77.0535397,-12.0368837,0 -77.0491038,-12.0361729,0 -77.0479958,-12.0361296,0 -77.0473077,-12.0362286,0 -77.0447099,-12.0361177,0 -77.0436799,-12.0359079,0 -77.0444631,-12.0283213,0 -77.0504713,-12.02255,0 -77.0524347,-12.0131056,0 -77.0527887,-12.0114686,0 -77.0537016,-12.0074899,0 -77.0610214,-12.00815,0 -77.0704447,-12.0108903,0 -77.0799755,-12.012539,0 -77.082636,-12.0067043,0 -77.0846529,-11.996315,0 -77.0781731,-11.9834064,0 -77.0858245,-11.9825256,0 -77.0831271,-11.9767118,0 -77.0858125,-11.9757359,0 -77.0879277,-11.9737787,0 -77.0854877,-11.9715615,0 -77.0831519,-11.9683957,0 -77.0856105,-11.9495257,0 -77.0852863,-11.949479,0 -77.0853698,-11.9489914,0 -77.0855392,-11.9478636,0 -77.0856656,-11.946253,0 -77.083838,-11.9403103,0 -77.0838165,-11.9388408,0 -77.0839239,-11.9369094,0 -77.0856832,-11.9388198,0 -77.0901941,-11.9434415,0 -77.0956298,-11.9505291,0 -77.1016049,-11.95024,0"
"INDEPENDENCIA","Capa sin tÃ­tulo","#poly-0F9D58-2901-77","Polygon","-77.051523,-12.0015627,0 -77.0517352,-12.0015331,0 -77.0518784,-12.0015031,0 -77.0518163,-12.0006979,0 -77.0517435,-11.9998318,0 -77.0514485,-11.9998213,0 -77.0500672,-11.9998974,0 -77.0496917,-11.9990158,0 -77.0507914,-11.9978142,0 -77.0524651,-11.9976043,0 -77.0524218,-11.9958111,0 -77.0527651,-11.9951919,0 -77.0521374,-11.9949348,0 -77.0516472,-11.9946993,0 -77.0517954,-11.9943641,0 -77.0510618,-11.9939876,0 -77.0512898,-11.993539,0 -77.0504155,-11.9934288,0 -77.0480095,-11.9927414,0 -77.0481195,-11.9923925,0 -77.0484541,-11.9916368,0 -77.0486117,-11.9911777,0 -77.048839,-11.9906136,0 -77.048959,-11.9903749,0 -77.0496752,-11.9906267,0 -77.0516832,-11.9913814,0 -77.0518746,-11.9910518,0 -77.0530346,-11.9913588,0 -77.0541598,-11.9919203,0 -77.0544173,-11.9916146,0 -77.0550584,-11.9918527,0 -77.0552689,-11.9914575,0 -77.0556404,-11.9913824,0 -77.0555546,-11.9888216,0 -77.0539667,-11.9893254,0 -77.0525076,-11.9877722,0 -77.051306,-11.9873524,0 -77.0527651,-11.9850855,0 -77.0530226,-11.9829865,0 -77.049246,-11.981853,0 -77.0484306,-11.9841619,0 -77.0467569,-11.983994,0 -77.0450403,-11.9833223,0 -77.046081,-11.9792607,0 -77.047111,-11.9770987,0 -77.0468106,-11.9767838,0 -77.0465316,-11.9766159,0 -77.0471754,-11.9751256,0 -77.0450725,-11.9743699,0 -77.0453944,-11.9726276,0 -77.0454802,-11.9723548,0 -77.0460166,-11.9706545,0 -77.0466389,-11.9707175,0 -77.0478405,-11.9715571,0 -77.0511879,-11.9747267,0 -77.0516386,-11.9733623,0 -77.0537629,-11.9750836,0 -77.0570244,-11.976406,0 -77.0588054,-11.9767628,0 -77.0594883,-11.9770349,0 -77.0599068,-11.9768879,0 -77.0601144,-11.9766579,0 -77.0660437,-11.9774967,0 -77.0644814,-11.9876134,0 -77.0611797,-12.008129,0 -77.0589346,-12.0080356,0 -77.0537418,-12.0075214,0 -77.0529586,-12.010995,0 -77.0502952,-12.0105805,0 -77.0496769,-12.0108769,0 -77.049293,-12.0118115,0 -77.0493425,-12.0122238,0 -77.0492847,-12.0124576,0 -77.048831,-12.0127075,0 -77.0490213,-12.0138608,0 -77.048853,-12.0145951,0 -77.0493176,-12.0147156,0 -77.0481515,-12.0157909,0 -77.0478581,-12.0158984,0 -77.0475773,-12.0163404,0 -77.0474896,-12.0169922,0 -77.0469176,-12.0167233,0 -77.0475007,-12.0152299,0 -77.0478262,-12.0136945,0 -77.0484498,-12.0110637,0 -77.0487174,-12.0104336,0 -77.0495938,-12.0095678,0 -77.0511133,-12.0048454,0 -77.0507914,-12.0030824,0 -77.0519943,-12.0020668,0 -77.0518988,-12.0020092,0 -77.0518033,-12.0019358,0 -77.0516122,-12.0017995,0 -77.0515084,-12.0017188,0 -77.0512598,-12.0017326,0 -77.0508966,-12.0017601,0 -77.0502479,-12.0017889,0 -77.0496071,-12.0018701,0 -77.049152,-12.0020564,0 -77.0489299,-12.0021129,0 -77.0487238,-12.0021011,0 -77.0482977,-12.0020165,0 -77.0480688,-12.0019239,0 -77.0478935,-12.0017894,0 -77.0476019,-12.0015255,0 -77.0477124,-12.00138,0 -77.0479396,-12.0015772,0 -77.0481614,-12.001743,0 -77.0487633,-12.0019009,0 -77.0490676,-12.0018646,0 -77.049372,-12.001781,0 -77.0497511,-12.0016184,0 -77.0501821,-12.0015713,0 -77.0507463,-12.0015585,0 -77.0511388,-12.0015431,0 -77.0513378,-12.0015563,0 -77.0515019,-12.001567,0 -77.051523,-12.0015627,0"
"ZONA ROJA","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.0475284,-11.9713982,0 -77.0461587,-11.9705103,0 -77.0450456,-11.9744224,0 -77.0471485,-11.9751781,0 -77.0465413,-11.9767509,0 -77.0470841,-11.9771512,0 -77.0457363,-11.9804585,0 -77.0450349,-11.9833958,0 -77.04673,-11.9840465,0 -77.0484037,-11.9842144,0 -77.0492191,-11.9819055,0 -77.0529957,-11.983039,0 -77.0527382,-11.985138,0 -77.0512791,-11.9874049,0 -77.0524807,-11.9878247,0 -77.0539398,-11.9893779,0 -77.0555277,-11.9888741,0 -77.055635,-11.9914559,0 -77.0552635,-11.991531,0 -77.055053,-11.9919262,0 -77.0544119,-11.9916881,0 -77.0541544,-11.9919938,0 -77.0530292,-11.9914323,0 -77.0518618,-11.9911233,0 -77.0516778,-11.9914549,0 -77.0496698,-11.9907002,0 -77.0488651,-11.9904169,0 -77.0489536,-11.9904484,0 -77.0484815,-11.9915896,0 -77.0480041,-11.9928149,0 -77.0504101,-11.9935023,0 -77.0512844,-11.9936125,0 -77.0510564,-11.9940611,0 -77.05179,-11.9944376,0 -77.0516418,-11.9947728,0 -77.0527597,-11.9952654,0 -77.0523949,-11.9958636,0 -77.0524597,-11.9976778,0 -77.0514391,-11.9977894,0 -77.0507645,-11.9978667,0 -77.0505259,-11.9982368,0 -77.0496863,-11.9990893,0 -77.0500618,-11.9999709,0 -77.0517381,-11.9999053,0 -77.0517985,-12.0004261,0 -77.0518109,-12.0007714,0 -77.0518784,-12.0015031,0 -77.0515382,-12.0015632,0 -77.0510948,-12.0015472,0 -77.0503442,-12.0015696,0 -77.0499269,-12.0015757,0 -77.0497209,-12.0016181,0 -77.0495685,-12.0017025,0 -77.0491673,-12.0018371,0 -77.048972,-12.0019044,0 -77.0487633,-12.0019009,0 -77.0484827,-12.0018165,0 -77.0481995,-12.0017399,0 -77.047964,-12.0015783,0 -77.0477124,-12.00138,0 -77.0475794,-12.0015291,0 -77.0480032,-12.0018757,0 -77.0482474,-12.0020097,0 -77.0485612,-12.0020912,0 -77.0487531,-12.0021178,0 -77.0489664,-12.0021181,0 -77.0498036,-12.001823,0 -77.051521,-12.0017365,0 -77.0519943,-12.0020668,0 -77.0516681,-12.0023273,0 -77.051358,-12.002593,0 -77.0507887,-12.0031034,0 -77.0509013,-12.0037254,0 -77.0511079,-12.0049189,0 -77.0505325,-12.0068498,0 -77.0500604,-12.008382,0 -77.0495884,-12.0096413,0 -77.048712,-12.0105071,0 -77.0478208,-12.013768,0 -77.0474953,-12.0153034,0 -77.0469122,-12.0167968,0 -77.0461505,-12.0164295,0 -77.0454891,-12.0107271,0 -77.045333,-12.0101403,0 -77.0456084,-12.01001,0 -77.0435802,-12.0067239,0 -77.0376841,-12.0029383,0 -77.0409194,-11.9980346,0 -77.0439664,-11.9969012,0 -77.0446531,-11.9942565,0 -77.0390741,-11.9940886,0 -77.039117,-11.9897228,0 -77.030491,-11.9835518,0 -77.031006,-11.9684385,0 -77.0291606,-11.9586144,0 -77.031478,-11.9533243,0 -77.0339671,-11.9550877,0 -77.0371991,-11.9460825,0 -77.0396936,-11.9420623,0 -77.0409938,-11.9417577,0 -77.0435613,-11.9411281,0 -77.0448595,-11.9408132,0 -77.0450902,-11.941506,0 -77.0454497,-11.9452323,0 -77.0455247,-11.9492734,0 -77.0465547,-11.9517506,0 -77.0456964,-11.9528422,0 -77.0441193,-11.9541856,0 -77.0472735,-11.9621207,0 -77.0513827,-11.9609766,0 -77.0533782,-11.9622466,0 -77.0547944,-11.9639679,0 -77.0512754,-11.9643038,0 -77.0524704,-11.966833,0 -77.0547944,-11.9672216,0 -77.0558244,-11.9678723,0 -77.0541185,-11.9683341,0 -77.0530134,-11.9688799,0 -77.0533568,-11.9705592,0 -77.0546442,-11.9730151,0 -77.0568356,-11.9731568,0 -77.0570314,-11.9743691,0 -77.0581016,-11.9764996,0 -77.057019,-11.9764795,0 -77.0537575,-11.9751571,0 -77.0516332,-11.9734358,0 -77.0511825,-11.9748002,0 -77.0485584,-11.9721749,0 -77.0475284,-11.9713982,0"
"PUNTO DE ENCUENTRO","Capa sin tÃ­tulo","#icon-1899-0288D1","Point","-77.0507682,-11.9920251,0"
"PUNTO DE ENCUENTRO","Capa sin tÃ­tulo","#icon-1899-0288D1-nodesc","Point","-77.0528426,-11.9972379,0"
"PUNTO DE ENCUENTRO","Capa sin tÃ­tulo","#icon-1899-0288D1-nodesc","Point","-77.0519154,-12.0018156,0"
"PUNTO DE ENCUENTRO EN LA AVENIDA","Capa sin tÃ­tulo","#icon-1899-0288D1-nodesc","Point","-77.0416094,-11.920721,0"
"PUNTO DE ENCUENTRO EN LA AVENIDA TUPAC AMARU, PLAZA VEA","Capa sin tÃ­tulo","#icon-1899-0288D1-nodesc","Point","-77.0454422,-11.9329008,0"
"PUNTO DE ENCUENTRO","Capa sin tÃ­tulo","#icon-1899-0288D1","Point","-77.0400635,-11.9413142,0"
"PUNTO DE ENCUENTRO","Capa sin tÃ­tulo","#icon-1899-0288D1-nodesc","Point","-77.0401077,-11.9363513,0"
"PUNTO DE ENCUENTRO EN EL GRIFO","Capa sin tÃ­tulo","#icon-1899-0288D1-nodesc","Point","-77.014247,-11.8717004,0"
"ZONA ROJA","Capa sin tÃ­tulo","#poly-E65100-1200-77-nodesc","Unknown",""
"ZONA ROJA","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.1016451,-11.9502505,0 -77.1013039,-11.9499814,0 -77.1201866,-11.945111,0 -77.1249665,-11.9394981,0 -77.1271767,-11.939792,0 -77.1279062,-11.9410306,0 -77.1271389,-11.9424239,0 -77.1228851,-11.9484831,0 -77.1208681,-11.9498476,0 -77.1199669,-11.9541301,0 -77.1178426,-11.9566702,0 -77.1188082,-11.9652558,0 -77.1166676,-11.9658513,0 -77.1169144,-11.969189,0 -77.1158217,-11.9705051,0 -77.1129893,-11.9668947,0 -77.1147772,-11.9638534,0 -77.1132322,-11.9603268,0 -77.1089407,-11.9557925,0 -77.1055933,-11.9532734,0 -77.1011751,-11.9534241,0 -77.1015399,-11.9512619,0 -77.1016451,-11.9502505,0"
"RIMAC","Capa sin tÃ­tulo","#poly-0F9D58-2801-77","Polygon","-77.035897,-12.0074381,0 -77.0360633,-12.0077975,0 -77.032732,-12.0118089,0 -77.0310825,-12.0152429,0 -77.0357897,-12.0192962,0 -77.0379887,-12.0174315,0 -77.0419726,-12.0169376,0 -77.0425161,-12.0165164,0 -77.0428092,-12.015926,0 -77.0427515,-12.0151858,0 -77.0417565,-12.0139993,0 -77.0409574,-12.0132476,0 -77.0414084,-12.0129301,0 -77.0433404,-12.0155847,0 -77.042312,-12.0174625,0 -77.042401,-12.018028,0 -77.0391104,-12.0211015,0 -77.0390171,-12.0217615,0 -77.044802,-12.0263898,0 -77.0466044,-12.0199678,0 -77.0461559,-12.0163508,0 -77.0474896,-12.016987,0 -77.0475773,-12.0163352,0 -77.0478581,-12.0158932,0 -77.0481515,-12.0157857,0 -77.0493176,-12.0147104,0 -77.048853,-12.0145899,0 -77.0490368,-12.0139057,0 -77.048831,-12.0127023,0 -77.0492847,-12.0124524,0 -77.049293,-12.0118063,0 -77.0496769,-12.0108717,0 -77.0502952,-12.0105753,0 -77.0529586,-12.0109898,0 -77.051352,-12.0176313,0 -77.050837,-12.0208003,0 -77.0505115,-12.0225763,0 -77.0445033,-12.0283476,0 -77.0436799,-12.0359079,0 -77.0438547,-12.0361099,0 -77.0437171,-12.0368783,0 -77.0437542,-12.0378067,0 -77.0435737,-12.0390346,0 -77.0429211,-12.0386885,0 -77.0421881,-12.0386579,0 -77.0394268,-12.0389054,0 -77.0343091,-12.0408019,0 -77.0295628,-12.0428707,0 -77.0239183,-12.0432127,0 -77.0243072,-12.0436245,0 -77.0237794,-12.0435852,0 -77.0223143,-12.0439971,0 -77.0197654,-12.0444769,0 -77.017884,-12.0443417,0 -77.0160456,-12.0435769,0 -77.0143018,-12.0422839,0 -77.015376,-12.0421057,0 -77.0147623,-12.0412604,0 -77.0143632,-12.0404255,0 -77.0137366,-12.0379584,0 -77.0130068,-12.0368393,0 -77.0141604,-12.0363373,0 -77.0233228,-12.0270823,0 -77.0223787,-12.0239867,0 -77.0250609,-12.0214369,0 -77.0263484,-12.0221714,0 -77.0272281,-12.0209751,0 -77.0278825,-12.0199362,0 -77.0282903,-12.0191597,0 -77.0295133,-12.0169351,0 -77.0302537,-12.0157283,0 -77.0316699,-12.0130419,0 -77.0320514,-12.0123532,0 -77.0322529,-12.0120102,0 -77.0324705,-12.0116855,0 -77.0332819,-12.0105076,0 -77.035897,-12.0074381,0"
"ZONA ROJA","Capa sin tÃ­tulo","#poly-E65100-1200-112","Polygon","-77.0454981,-12.0097223,0 -77.0452955,-12.0100668,0 -77.0464972,-12.01991,0 -77.0446948,-12.026332,0 -77.0389742,-12.0217615,0 -77.0390675,-12.0211015,0 -77.0423581,-12.018028,0 -77.0422691,-12.0174625,0 -77.0432975,-12.0155847,0 -77.0413655,-12.0129301,0 -77.0409145,-12.0132476,0 -77.0417136,-12.0139993,0 -77.0427086,-12.0151858,0 -77.0427663,-12.015926,0 -77.0424732,-12.0165164,0 -77.0419297,-12.0169376,0 -77.0379458,-12.0174315,0 -77.0357468,-12.0192962,0 -77.0309538,-12.0151851,0 -77.0320967,-12.0128783,0 -77.0326033,-12.0118875,0 -77.0333547,-12.0110045,0 -77.0340816,-12.0101082,0 -77.0346635,-12.0094114,0 -77.0360848,-12.0078394,0 -77.0357683,-12.0073803,0 -77.0331616,-12.0104378,0 -77.0320835,-12.0120217,0 -77.0311127,-12.0137209,0 -77.0277761,-12.019823,0 -77.0262412,-12.0221136,0 -77.0249537,-12.0213791,0 -77.02225,-12.0239394,0 -77.0189775,-12.0227608,0 -77.0157051,-12.0214981,0 -77.0203088,-12.0115959,0 -77.0266603,-12.0034525,0 -77.0363591,-12.0024451,0 -77.0376466,-12.0028648,0 -77.0434569,-12.0065874,0 -77.0454981,-12.0097223,0"
"PUNTO DE ENCUENTRO EN AV AMANCAES","Capa sin tÃ­tulo","#icon-1899-0288D1-nodesc","Point","-77.0319603,-12.0128527,0"
"ZONA ROJA","Capa sin tÃ­tulo","#poly-E65100-1200-156","Polygon","-77.0108349,-12.0437967,0 -77.0120392,-12.0442557,0 -77.0133884,-12.0451922,0 -77.0144881,-12.045764,0 -77.0165265,-12.0467294,0 -77.0197666,-12.0477576,0 -77.0193496,-12.0509977,0 -77.0190524,-12.0522154,0 -77.0187982,-12.0534331,0 -77.0186392,-12.0545299,0 -77.0173878,-12.0574693,0 -77.0168445,-12.0574708,0 -77.0148764,-12.0566719,0 -77.0147263,-12.057869,0 -77.0129614,-12.0612055,0 -77.0113412,-12.0716994,0 -77.0063768,-12.0684777,0 -77.0033941,-12.0721498,0 -76.9956235,-12.0679119,0 -76.9901518,-12.0648587,0 -76.9898268,-12.0648503,0 -76.9878925,-12.0643593,0 -76.9872648,-12.0642911,0 -76.9869731,-12.0640101,0 -76.9859841,-12.063855,0 -76.9846821,-12.063655,0 -76.9819491,-12.0629454,0 -76.9787805,-12.0612794,0 -76.9754617,-12.0595504,0 -76.9754133,-12.0589773,0 -76.975086,-12.0577745,0 -76.9773603,-12.0565651,0 -76.9779607,-12.0568533,0 -76.9808781,-12.0562125,0 -76.9812688,-12.0553513,0 -76.9826574,-12.055382,0 -76.9834752,-12.0547051,0 -76.9831558,-12.0544268,0 -76.9824527,-12.053629,0 -76.9826771,-12.0531666,0 -76.9825038,-12.0526194,0 -76.9799542,-12.0526971,0 -76.9773242,-12.050582,0 -76.9774408,-12.0504394,0 -76.9865644,-12.0422599,0 -76.9885427,-12.0398336,0 -76.9919938,-12.0398584,0 -76.9940174,-12.0401818,0 -76.9954821,-12.0404338,0 -76.9970315,-12.0400308,0 -76.9979657,-12.0405176,0 -76.999516,-12.0408168,0 -77.0027413,-12.0414685,0 -77.0046016,-12.0418712,0 -77.0056155,-12.0381253,0 -77.0102852,-12.0400454,0 -77.012101,-12.0409583,0 -77.0123479,-12.0410422,0 -77.0112722,-12.0425532,0 -77.0108349,-12.0437967,0"
"PUNTO DE ENCUENTRO","Capa sin tÃ­tulo","#icon-1899-0288D1","Point","-77.0010851,-12.0281175,0"
"ZONA DE NO ENTREGA","Capa sin tÃ­tulo","#poly-E65100-1200-77-nodesc","Polygon","-77.0238126,-12.0472838,0 -77.0258725,-12.0467172,0 -77.029928,-12.0543977,0 -77.0305932,-12.0542088,0 -77.0290697,-12.0552161,0 -77.0257438,-12.0573984,0 -77.0251,-12.0524461,0 -77.0264948,-12.0523202,0 -77.0246709,-12.0490675,0 -77.0238126,-12.0472838,0"
"ZONA DE NO ENTREGA","Capa sin tÃ­tulo","#poly-E65100-1200-77-nodesc","Polygon","-77.0278681,-12.0496971,0 -77.0290697,-12.0491305,0 -77.0269883,-12.0461296,0 -77.0281577,-12.0453479,0 -77.0289785,-12.0446633,0 -77.0297456,-12.0457834,0 -77.0307326,-12.0452431,0 -77.0300138,-12.0441387,0 -77.0309365,-12.0436744,0 -77.0343054,-12.0481862,0 -77.0314515,-12.0501168,0 -77.0307649,-12.0492144,0 -77.0283616,-12.0505575,0 -77.0278681,-12.0496971,0"
"GAMARRA","Capa sin tÃ­tulo","#poly-E65100-1601-133","Polygon","-77.0129614,-12.0612055,0 -77.0133319,-12.0610126,0 -77.0155739,-12.0614416,0 -77.0151662,-12.0642954,0 -77.0146351,-12.0684265,0 -77.0140611,-12.0725733,0 -77.0117119,-12.0719294,0 -77.0113412,-12.0716469,0 -77.0117222,-12.0691805,0 -77.0122211,-12.0662914,0 -77.0129614,-12.0612055,0"
