"name","folder","styleUrl","geometryType","coordinates"
"ZONA DE ENTREGA CALLAO","Capa sin tÃ­tulo","#poly-097138-2201-77","Polygon","-77.1249142,-11.9797002,0 -77.1253187,-11.996252,0 -77.124632,-11.9989386,0 -77.1177657,-12.0014573,0 -77.1093007,-12.0181533,0 -77.1086509,-12.0194998,0 -77.1079154,-12.0203425,0 -77.1058434,-12.0222798,0 -77.1059125,-12.0237626,0 -77.1056382,-12.0249517,0 -77.1049181,-12.0275816,0 -77.0995696,-12.0368838,0 -77.0986844,-12.0393842,0 -77.0936106,-12.0379663,0 -77.0935891,-12.0362035,0 -77.0951233,-12.0365498,0 -77.0950107,-12.0342938,0 -77.0962552,-12.0337167,0 -77.0951662,-12.0313138,0 -77.0944635,-12.0300074,0 -77.0940692,-12.0300493,0 -77.0929376,-12.0274151,0 -77.0907299,-12.0230765,0 -77.0914353,-12.0226633,0 -77.0881496,-12.0166229,0 -77.0873986,-12.0157415,0 -77.0877633,-12.0145137,0 -77.0896516,-12.0116174,0 -77.0908533,-12.0117013,0 -77.0915399,-12.0094766,0 -77.0928274,-12.0093087,0 -77.0936857,-12.0099803,0 -77.095059,-12.0056987,0 -77.0955739,-12.0048173,0 -77.0978055,-12.0055728,0 -77.0993505,-12.0040197,0 -77.103642,-11.9979749,0 -77.1050153,-12.0002417,0 -77.1072469,-11.9994022,0 -77.1099935,-11.9938611,0 -77.1131264,-11.9970934,0 -77.1168726,-11.995327,0 -77.1177184,-11.9945094,0 -77.1179057,-11.9943457,0 -77.1182969,-11.9934999,0 -77.1184304,-11.9930385,0 -77.1184727,-11.9917585,0 -77.118267,-11.9914434,0 -77.1172582,-11.9906974,0 -77.1167036,-11.9899617,0 -77.1165277,-11.9894766,0 -77.1166801,-11.9895141,0 -77.1165595,-11.9892014,0 -77.1154491,-11.9864517,0 -77.1158729,-11.9857329,0 -77.1156154,-11.9844787,0 -77.1146499,-11.9821279,0 -77.1143568,-11.9817414,0 -77.1146215,-11.9807672,0 -77.1148936,-11.9794064,0 -77.1177045,-11.9796583,0 -77.1249142,-11.9797002,0"
"NO LLEGAMOS COORDINAR PUNTO DE ENCUENTRO","Capa sin tÃ­tulo","#poly-E65100-1200-77-nodesc","Polygon","-77.1255036,-11.9990382,0 -77.1261044,-12.0065941,0 -77.1285935,-12.0215373,0 -77.1265156,-12.0369097,0 -77.1163197,-12.0394177,0 -77.1088524,-12.0409287,0 -77.100956,-12.040425,0 -77.098939,-12.0391659,0 -77.0994969,-12.0372771,0 -77.1017285,-12.0323874,0 -77.104883,-12.0267313,0 -77.1049367,-12.0258655,0 -77.1050977,-12.0251782,0 -77.1055483,-12.0235937,0 -77.1056663,-12.021857,0 -77.1069216,-12.0205401,0 -77.107999,-12.0196214,0 -77.1086472,-12.0183669,0 -77.1098578,-12.0159839,0 -77.112193,-12.0110499,0 -77.1174211,-12.0013497,0 -77.1188946,-12.0012211,0 -77.121727,-11.9997099,0 -77.1255036,-11.9990382,0"
"PUNTO DE ENCUENTRO PARA LAS ENTREGAS EN SARITA COLONIAL","Capa sin tÃ­tulo","#icon-1899-0288D1","Point","-77.1260818,-11.9968729,0"
"VENTANILLA","Capa sin tÃ­tulo","#poly-0F9D58-2801-122","Polygon","-77.1584603,-11.8489029,0 -77.1554562,-11.850499,0 -77.1546837,-11.8501209,0 -77.1534392,-11.850331,0 -77.1533962,-11.851003,0 -77.15404,-11.852389,0 -77.155542,-11.853187,0 -77.1580311,-11.854489,0 -77.159619,-11.855749,0 -77.1590182,-11.856505,0 -77.1579882,-11.857471,0 -77.1558853,-11.857429,0 -77.1523234,-11.858899,0 -77.1502634,-11.859823,0 -77.1479889,-11.8616709,0 -77.1456715,-11.8647788,0 -77.1410795,-11.8699446,0 -77.1396204,-11.8717925,0 -77.1415516,-11.8720025,0 -77.1415945,-11.8735984,0 -77.1412941,-11.8775881,0 -77.1424958,-11.877798,0 -77.1425387,-11.8803178,0 -77.1457573,-11.8802758,0 -77.1460148,-11.8814517,0 -77.1415516,-11.8817037,0 -77.1412941,-11.8793519,0 -77.139835,-11.8793939,0 -77.1394917,-11.8806538,0 -77.1376463,-11.8804438,0 -77.1366593,-11.8809478,0 -77.1354576,-11.8844334,0 -77.1339127,-11.8873311,0 -77.1345993,-11.8897248,0 -77.1339127,-11.8916565,0 -77.1323195,-11.8918599,0 -77.1305331,-11.8927772,0 -77.1302649,-11.8951578,0 -77.1312091,-11.8971,0 -77.1354791,-11.8979136,0 -77.1358439,-11.9044225,0 -77.1290203,-11.9045065,0 -77.1292349,-11.907278,0 -77.1305653,-11.9079919,0 -77.1308657,-11.9097135,0 -77.1319815,-11.9106793,0 -77.1324106,-11.9163061,0 -77.1331831,-11.9162641,0 -77.1335264,-11.9218908,0 -77.133226,-11.9225206,0 -77.1336552,-11.9265096,0 -77.1301361,-11.9268875,0 -77.1309974,-11.9358507,0 -77.1316329,-11.9358569,0 -77.1351515,-11.9372182,0 -77.1367472,-11.9373136,0 -77.1366693,-11.9379859,0 -77.1368932,-11.9379914,0 -77.1368202,-11.9384132,0 -77.1349059,-11.9385358,0 -77.1315992,-11.9376734,0 -77.1297945,-11.9371258,0 -77.1303936,-11.9366708,0 -77.1284195,-11.921135,0 -77.1275612,-11.9105953,0 -77.124128,-11.9114352,0 -77.1233984,-11.9084118,0 -77.1268746,-11.9067741,0 -77.1278616,-11.90711,0 -77.12769,-11.9044225,0 -77.1244713,-11.9013571,0 -77.1217247,-11.8985015,0 -77.1237417,-11.8967378,0 -77.1218535,-11.895142,0 -77.1227976,-11.8933783,0 -77.124128,-11.8939662,0 -77.1242996,-11.8919505,0 -77.1232697,-11.8908586,0 -77.1255871,-11.8888429,0 -77.1233555,-11.8895148,0 -77.1089789,-11.8961919,0 -77.1065327,-11.8901867,0 -77.1117254,-11.888087,0 -77.1127983,-11.8905647,0 -77.1140429,-11.8896408,0 -77.1145579,-11.887919,0 -77.1160599,-11.8891369,0 -77.1175619,-11.888003,0 -77.1200081,-11.8864492,0 -77.1226689,-11.8858193,0 -77.1250292,-11.8825016,0 -77.1224114,-11.8824176,0 -77.1207377,-11.8798139,0 -77.1233984,-11.8775461,0 -77.1179911,-11.8743963,0 -77.117047,-11.8749843,0 -77.1177336,-11.8772101,0 -77.1169611,-11.8820817,0 -77.1121117,-11.8862392,0 -77.1086785,-11.8841394,0 -77.1136566,-11.8798559,0 -77.1135708,-11.8764962,0 -77.1087643,-11.8792679,0 -77.1037432,-11.8826276,0 -77.1024557,-11.8862812,0 -77.094731,-11.8894728,0 -77.0919844,-11.8832995,0 -77.0934864,-11.87889,0 -77.0936152,-11.8756562,0 -77.0953318,-11.8743963,0 -77.0974346,-11.8725064,0 -77.1050736,-11.8730524,0 -77.1100947,-11.8686847,0 -77.1117254,-11.8656608,0 -77.1103092,-11.8630989,0 -77.1105238,-11.8614189,0 -77.1135279,-11.859823,0 -77.1161457,-11.8646528,0 -77.1167465,-11.8657448,0 -77.1177765,-11.8647368,0 -77.1187207,-11.8635189,0 -77.1197935,-11.8632669,0 -77.1197077,-11.8656188,0 -77.1206518,-11.8683907,0 -77.122068,-11.8702386,0 -77.1247288,-11.8707845,0 -77.1240851,-11.8624689,0 -77.121714,-11.8647264,0 -77.1208289,-11.8631881,0 -77.1194502,-11.8622169,0 -77.1211239,-11.8604109,0 -77.119536,-11.8599489,0 -77.1183559,-11.8601799,0 -77.1169182,-11.858269,0 -77.1143862,-11.858941,0 -77.113957,-11.8556388,0 -77.1141609,-11.854426,0 -77.112498,-11.8500475,0 -77.1136137,-11.8485249,0 -77.1125408,-11.8463829,0 -77.1131417,-11.8431067,0 -77.1145579,-11.8418047,0 -77.1143433,-11.8410906,0 -77.1157595,-11.8395786,0 -77.1144291,-11.8347482,0 -77.1132704,-11.8336141,0 -77.120051,-11.8284057,0 -77.125158,-11.822315,0 -77.1259841,-11.821727,0 -77.1272608,-11.8205194,0 -77.1283659,-11.8212492,0 -77.1292349,-11.8205784,0 -77.1296319,-11.8204957,0 -77.1297821,-11.8200993,0 -77.146916,-11.8193747,0 -77.1473881,-11.8202148,0 -77.1490189,-11.8213489,0 -77.1478411,-11.8250138,0 -77.1482296,-11.8250243,0 -77.1487834,-11.8248931,0 -77.1496589,-11.8257069,0 -77.1502943,-11.8259274,0 -77.1509588,-11.8258329,0 -77.1515375,-11.8250453,0 -77.1520176,-11.8244153,0 -77.1523556,-11.8215274,0 -77.1529886,-11.8215169,0 -77.1528491,-11.8237537,0 -77.153525,-11.8244363,0 -77.1545925,-11.8248091,0 -77.1549733,-11.826127,0 -77.1579775,-11.8253897,0 -77.1603595,-11.8247784,0 -77.1614214,-11.8252134,0 -77.1635994,-11.8274501,0 -77.1657559,-11.8274501,0 -77.167215,-11.8273976,0 -77.1705624,-11.8267675,0 -77.1713778,-11.8251398,0 -77.1738132,-11.8258959,0 -77.1738132,-11.825959,0 -77.1734377,-11.8265575,0 -77.1713778,-11.8306739,0 -77.1740814,-11.831304,0 -77.1741673,-11.8364284,0 -77.1706482,-11.8386965,0 -77.1686741,-11.8399146,0 -77.1645542,-11.8415107,0 -77.1619364,-11.8454168,0 -77.1584603,-11.8489029,0"
"ZONA DE NO ENTREGA","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.0922298,-11.8841923,0 -77.0942039,-11.8900372,0 -77.094731,-11.8894728,0 -77.0957489,-11.8903732,0 -77.1005286,-11.8871081,0 -77.1032161,-11.8861737,0 -77.1039886,-11.883234,0 -77.1126575,-11.877305,0 -77.1127863,-11.8795308,0 -77.1075935,-11.8831004,0 -77.1098251,-11.8851162,0 -77.1106834,-11.8874679,0 -77.1057052,-11.8899876,0 -77.1085376,-11.8966227,0 -77.1104259,-11.8957828,0 -77.1178073,-11.8925073,0 -77.1234414,-11.8906906,0 -77.1228714,-11.8925913,0 -77.1214122,-11.894859,0 -77.1233863,-11.8967067,0 -77.1210689,-11.8976305,0 -77.1278617,-11.9042545,0 -77.1280333,-11.906942,0 -77.1270463,-11.9066061,0 -77.1235701,-11.9082438,0 -77.1242997,-11.9112672,0 -77.1277329,-11.9104273,0 -77.1274204,-11.9129997,0 -77.1284504,-11.9249249,0 -77.1300811,-11.9350861,0 -77.1299662,-11.9369578,0 -77.1269912,-11.9381092,0 -77.1233005,-11.9415521,0 -77.1204681,-11.9444911,0 -77.1148033,-11.9461706,0 -77.1099109,-11.94785,0 -77.1045894,-11.9488577,0 -77.0998687,-11.9504531,0 -77.0960064,-11.9505371,0 -77.0902343,-11.943473,0 -77.091535,-11.9425249,0 -77.0934286,-11.9408086,0 -77.0946652,-11.9381564,0 -77.0972426,-11.937497,0 -77.0997533,-11.9306949,0 -77.1021862,-11.9323989,0 -77.1010704,-11.9275282,0 -77.0969505,-11.924505,0 -77.0974655,-11.9229934,0 -77.095148,-11.9173667,0 -77.0929165,-11.9112361,0 -77.0918007,-11.9061131,0 -77.0899124,-11.9004021,0 -77.091114,-11.894691,0 -77.0925731,-11.8909115,0 -77.0922298,-11.8841923,0"
"ZONA DE NO ENTREGAS","Capa sin tÃ­tulo","#poly-E65100-1200-125","Polygon","-77.1303078,-11.9267195,0 -77.1336202,-11.9279116,0 -77.1344786,-11.9230408,0 -77.1333548,-11.9160961,0 -77.1325823,-11.9161381,0 -77.1321532,-11.9105113,0 -77.1310374,-11.9095455,0 -77.130737,-11.9078239,0 -77.1294066,-11.90711,0 -77.1293287,-11.9044179,0 -77.1360156,-11.9042545,0 -77.1356694,-11.8978355,0 -77.1313808,-11.8971,0 -77.1304366,-11.8951578,0 -77.1307048,-11.8927772,0 -77.1324912,-11.8918599,0 -77.1340844,-11.8916565,0 -77.134771,-11.8895568,0 -77.1340844,-11.8871631,0 -77.1357836,-11.8840636,0 -77.136831,-11.8807798,0 -77.137818,-11.8802758,0 -77.1396634,-11.8804858,0 -77.140077,-11.8793957,0 -77.141384,-11.8794231,0 -77.1417233,-11.8815357,0 -77.1435552,-11.8815101,0 -77.1461865,-11.8812837,0 -77.145929,-11.8801078,0 -77.1444778,-11.8800192,0 -77.1428431,-11.880032,0 -77.1426675,-11.87763,0 -77.1416375,-11.877378,0 -77.1417233,-11.8718345,0 -77.1399463,-11.8715592,0 -77.1418171,-11.86952,0 -77.1497564,-11.8613933,0 -77.1581599,-11.857303,0 -77.1597907,-11.855581,0 -77.1579962,-11.8528253,0 -77.1562795,-11.8514813,0 -77.1634893,-11.8442571,0 -77.1672659,-11.841065,0 -77.174339,-11.8362604,0 -77.175334,-11.8309843,0 -77.1715495,-11.8305059,0 -77.1745106,-11.8255494,0 -77.1808271,-11.827792,0 -77.1864919,-11.8271199,0 -77.1866636,-11.8304803,0 -77.1840887,-11.8360247,0 -77.1861486,-11.8397209,0 -77.1825437,-11.8398889,0 -77.1820288,-11.8447612,0 -77.1767072,-11.8444252,0 -77.1736173,-11.8471132,0 -77.1598844,-11.868617,0 -77.153533,-11.8859196,0 -77.1454649,-11.9091,0 -77.1399717,-11.9312706,0 -77.1385985,-11.9389124,0 -77.1348263,-11.9385541,0 -77.136315,-11.9384277,0 -77.1368918,-11.9384587,0 -77.1368932,-11.9379914,0 -77.1366693,-11.9379859,0 -77.1367472,-11.9373136,0 -77.1351515,-11.9372182,0 -77.1331696,-11.9364509,0 -77.1316329,-11.9358569,0 -77.1309974,-11.9358507,0 -77.1309711,-11.9355025,0 -77.1303078,-11.9267195,0"
"PUNTO DE ENCUENTRO EN LA PARADA DE INKA COLA","Capa sin tÃ­tulo","#icon-1899-0288D1-nodesc","Point","-77.1305115,-11.9363533,0"
"PolÃ­gono 20","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.1115629,-11.9777398,0 -77.1109889,-11.9765538,0 -77.1121852,-11.9731953,0 -77.1154638,-11.9700668,0 -77.1169166,-11.9693224,0 -77.118658,-11.9725607,0 -77.1145167,-11.976528,0 -77.1130469,-11.9770843,0 -77.1115629,-11.9777398,0"
"ZONA DE NO ENTREGA","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.1124348,-11.8499395,0 -77.1126697,-11.8498795,0 -77.1143326,-11.854258,0 -77.1141287,-11.8554708,0 -77.1145579,-11.858773,0 -77.1170899,-11.858101,0 -77.1185276,-11.8600119,0 -77.1136996,-11.859655,0 -77.1127732,-11.8601061,0 -77.1119149,-11.8605576,0 -77.1106955,-11.8612509,0 -77.1104809,-11.8629309,0 -77.1118971,-11.8654928,0 -77.1102664,-11.8685167,0 -77.1052453,-11.8728844,0 -77.0976063,-11.8723384,0 -77.0975812,-11.8690518,0 -77.0980318,-11.8662799,0 -77.0985945,-11.8634214,0 -77.0959874,-11.8635369,0 -77.0924946,-11.8636757,0 -77.0932035,-11.8632522,0 -77.0935692,-11.8628812,0 -77.0938176,-11.8625278,0 -77.0940715,-11.86239,0 -77.0943038,-11.8621472,0 -77.0948919,-11.8620369,0 -77.0951185,-11.861806,0 -77.0950076,-11.8615669,0 -77.0945428,-11.861057,0 -77.0944107,-11.8605103,0 -77.0958109,-11.8587516,0 -77.0959611,-11.8580481,0 -77.0961484,-11.8573997,0 -77.094818,-11.8535725,0 -77.0935521,-11.8501641,0 -77.094657,-11.8493147,0 -77.0964836,-11.8478236,0 -77.0980528,-11.848942,0 -77.0992758,-11.8493725,0 -77.1002977,-11.8495825,0 -77.1011159,-11.8500865,0 -77.1027954,-11.8479155,0 -77.1042115,-11.8486506,0 -77.1055469,-11.849383,0 -77.1059653,-11.8487635,0 -77.1064212,-11.8486795,0 -77.1066921,-11.8472304,0 -77.1124348,-11.8499395,0"
"ZONA DE NO ENTREGAS","Capa sin tÃ­tulo","#poly-E65100-1200-77","Polygon","-77.092966,-11.8776204,0 -77.0920219,-11.8799722,0 -77.0920219,-11.8866915,0 -77.0909061,-11.8931587,0 -77.0898507,-11.9002341,0 -77.0922672,-11.9118415,0 -77.096485,-11.9243164,0 -77.1005995,-11.9274551,0 -77.1020774,-11.9327614,0 -77.0990063,-11.929754,0 -77.0943178,-11.9277176,0 -77.0927928,-11.9332562,0 -77.0878039,-11.9290783,0 -77.0890867,-11.9274374,0 -77.0890025,-11.9237546,0 -77.0883267,-11.923028,0 -77.0875918,-11.9233051,0 -77.0872673,-11.9230868,0 -77.0869548,-11.9231245,0 -77.0868952,-11.923007,0 -77.0868868,-11.9226333,0 -77.0858634,-11.9226249,0 -77.0856875,-11.9221336,0 -77.0847917,-11.9218123,0 -77.0845262,-11.920329,0 -77.0870341,-11.9199941,0 -77.0899255,-11.9195595,0 -77.089872,-11.9184446,0 -77.0848642,-11.9153268,0 -77.0826112,-11.9112536,0 -77.0824027,-11.9080222,0 -77.0803367,-11.9012595,0 -77.0759715,-11.9023972,0 -77.0724525,-11.8955943,0 -77.0764007,-11.8938306,0 -77.0764743,-11.8869816,0 -77.0780273,-11.8809343,0 -77.0823713,-11.8768014,0 -77.0862819,-11.8730007,0 -77.0901489,-11.8708307,0 -77.0902072,-11.8697315,0 -77.0899712,-11.8695531,0 -77.0874859,-11.8696094,0 -77.0810953,-11.8740649,0 -77.0750903,-11.8728499,0 -77.0755116,-11.8724457,0 -77.0786846,-11.8680937,0 -77.0856565,-11.8659668,0 -77.085955,-11.8655933,0 -77.0865039,-11.8652136,0 -77.0869216,-11.8652688,0 -77.0870978,-11.8652295,0 -77.0875834,-11.8640134,0 -77.0883372,-11.8638368,0 -77.0900862,-11.8624539,0 -77.0909806,-11.863028,0 -77.0924329,-11.8635077,0 -77.0985328,-11.8632534,0 -77.096528,-11.8718668,0 -77.0937252,-11.8753202,0 -77.092966,-11.8776204,0"
